LifetimeValue,DaysWithoutFrequency,Age,Gender_dummy,Gender,EnrollmentDuration,DaysWithoutFrequency,AverageFrequency,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,DanceActivities,TeamActivities,RacketActivities,CombatActivities,NatureActivities,SpecialActivities,OtherActivities,NumberOfActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,Ratio,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout
33.6,1633,24,1,Male,54,1633,0.01,0,0,0,1,0,0,0,1,0,0,0,2,2,0,7,28.98,2,6.9,5,0,0,0
251.1,61,15,0,Female,9,61,0.68,0,0,0,0,0,1,0,0,0,0,0,1,29,29,2,17.42,1,5.74,0,0,0,1
71.7,0,31,0,Female,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,21,0,7,48.02,20,41.65,0,0,0,0
111.4,53,29,0,Female,4,53,0.46,0,0,0,0,0,0,0,1,0,0,0,1,7,0,7,60.97,2,3.28,0,0,0,1
301.2,43,21,1,Male,26,43,0.42,0,0,0,1,0,0,0,0,0,0,0,1,43,0,7,60.97,2,3.28,2,0,0,1
61.6,161,44,1,Male,6,161,0.34,0,0,0,1,0,0,0,0,0,0,0,1,8,0,7,28.98,0,0,1,0,0,1
110.1,5,39,0,Female,2,5,1.95,0,0,1,0,0,0,0,0,0,0,0,1,15,0,7,49,16,32.65,0,0,0,1
454.42,337,3,1,Male,16,337,0.18,0,0,1,0,0,0,0,0,0,0,0,1,11,11,2,17.42,0,0,2,0,0,1
101.5,11,33,0,Female,4,11,1.18,0,0,0,1,0,0,0,0,0,0,0,1,19,0,7,25.97,6,23.1,0,0,0,1
114.85,103,20,1,Male,7,103,0.83,0,0,0,1,0,0,0,0,0,0,0,1,21,0,7,28.98,8,27.61,1,0,0,1
513.6,6,5,0,Female,15,6,1.15,0,0,1,0,0,0,0,0,0,0,0,1,67,59,2,4.58,3,65.5,2,0,0,0
114.35,6,7,1,Male,1,6,0.92,0,0,1,0,0,0,0,0,0,0,0,1,7,6,2,14.86,7,47.11,0,0,0,0
171.2,83,22,0,Female,11,83,0.4,0,0,1,0,0,0,0,0,0,0,0,1,17,12,1,8.71,1,11.48,1,0,0,1
243.4,10,2,1,Male,8,10,0.57,0,0,1,0,0,0,0,0,0,0,0,1,16,13,2,10.86,2,18.42,2,0,0,1
45.1,39,23,1,Male,7,39,0.03,0,0,0,0,0,0,0,1,0,0,0,1,1,0,7,38.99,1,2.56,0,0,0,1
468.4,43,53,0,Female,12,43,0.7,0,0,0,0,0,0,0,0,0,1,0,1,34,37,2,17.72,3,16.93,1,0,0,1
165.2,91,21,0,Female,17,91,0.4,0,0,0,1,0,0,0,0,0,0,0,1,28,0,7,30.03,2,6.66,2,0,0,1
188.6,40,32,1,Male,6,40,0.8,0,0,1,0,0,0,0,0,0,0,0,1,19,19,2,17.42,5,28.7,0,0,0,1
402.3,266,29,1,Male,20,266,0.45,1,0,1,0,0,0,0,0,0,0,0,1,37,0,7,60.97,1,1.64,1,0,0,1
606.37,55,40,1,Male,16,55,2.45,0,0,0,1,0,0,0,0,0,1,0,2,149,7,7,60.97,2,3.28,2,0,0,1
43.6,153,19,0,Female,5,153,0.06,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,28.98,1,3.45,1,0,0,1
71.2,286,21,1,Male,11,286,0.24,0,0,0,1,0,0,0,0,0,0,0,1,10,0,7,28.98,1,3.45,1,0,0,1
38.5,9,21,1,Male,1,9,0.72,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,28,3,10.71,0,0,0,1
116.6,52,21,1,Male,9,52,0.1,0,0,1,1,0,0,0,0,0,0,0,2,4,0,7,60.97,3,4.92,0,0,0,1
541.8,34,22,1,Male,22,34,0.94,0,0,0,0,0,0,1,0,0,0,0,1,79,73,2,17.42,6,34.44,3,0,0,1
138.35,66,57,1,Male,4,66,0.54,0,0,1,0,0,0,0,0,0,0,0,1,8,0,7,60.97,0,0,0,0,0,1
227.2,60,29,1,Male,14,60,0.31,0,0,1,0,0,0,0,0,0,0,0,1,16,10,7,59.01,0,0,2,0,0,1
128.6,46,21,1,Male,9,46,0.55,0,0,0,1,0,0,0,0,0,0,0,1,18,0,7,60.97,4,6.56,1,0,0,1
